,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2023-05-28,8.02,1.01,0.0,1.01,5.06,10.97,9.94,87.3
2023-05-29,9.81,1.5,0.0,1.5,6.61,12.85,12.1,81.34
2023-05-30,9.65,0.05,0.0,0.05,6.06,13.56,10.93,81.9
2023-05-31,8.47,7.8,0.0,7.8,5.23,11.82,9.87,83.8
2023-06-01,8.53,1.51,0.0,1.51,5.84,10.96,5.96,83.99
2023-06-02,8.91,1.39,0.0,1.39,5.43,11.82,10.45,85.81
2023-06-03,10.47,0.36,0.0,0.36,6.83,15.11,12.83,84.46
2023-06-04,9.66,1.23,0.0,1.23,7.09,12.31,13.09,83.89
2023-06-05,8.91,4.21,0.0,4.21,6.61,11.61,12.24,89.81
2023-06-06,9.0,3.48,0.0,3.48,6.78,11.31,14.95,88.46
2023-06-07,9.32,0.26,0.0,0.26,6.03,12.23,7.83,82.69
2023-06-08,9.63,0.0,0.0,0.0,4.45,13.57,7.72,79.91
2023-06-09,10.71,1.24,0.0,1.24,8.66,13.84,8.53,85.03
2023-06-10,9.67,4.22,0.0,4.22,7.66,11.57,7.63,88.41
2023-06-11,10.53,0.33,0.0,0.33,6.89,13.92,9.02,85.2
2023-06-12,10.94,1.37,0.0,1.37,8.25,13.66,7.71,85.4
2023-06-13,10.63,1.88,0.0,1.88,8.26,13.1,7.26,87.12
2023-06-14,9.8,10.05,0.0,10.05,7.76,11.71,9.5,90.18
2023-06-15,9.74,13.65,0.0,13.65,7.88,12.02,11.97,88.13
2023-06-16,10.49,0.04,0.0,0.04,6.55,13.56,8.67,82.31
2023-06-17,11.07,0.0,0.0,0.0,6.07,14.76,9.04,81.99
2023-06-18,10.98,5.22,0.0,5.22,8.66,13.42,9.93,83.42
2023-06-19,10.86,1.91,0.0,1.91,7.49,13.87,7.25,85.5
2023-06-20,10.3,12.76,0.0,12.76,8.49,12.72,13.46,87.29
2023-06-21,10.49,1.73,0.0,1.73,6.79,13.68,15.65,80.24
2023-06-22,9.8,11.78,0.0,11.78,7.88,12.03,18.41,78.85
2023-06-23,10.52,4.9,0.0,4.9,7.97,12.95,17.43,76.92
2023-06-24,11.74,3.56,0.0,3.56,8.07,15.73,9.16,76.08
2023-06-25,13.24,0.0,0.0,0.0,6.61,16.6,7.72,80.05
2023-06-26,13.69,0.51,0.0,0.51,8.9,17.27,6.77,81.78
2023-06-27,13.04,0.24,0.0,0.24,9.69,15.29,10.82,81.75
2023-06-28,13.64,0.0,0.0,0.0,8.85,16.43,7.96,77.28
2023-06-29,13.75,0.07,0.0,0.07,9.23,16.69,8.93,77.36
2023-06-30,10.85,10.63,0.0,10.63,7.33,13.72,15.22,82.34
2023-07-01,11.64,0.17,0.0,0.17,6.02,14.9,9.76,70.13
2023-07-02,13.36,0.0,0.0,0.0,5.66,17.29,10.41,70.91
2023-07-03,15.12,0.0,0.0,0.0,7.85,18.66,9.24,66.6
2023-07-04,14.59,0.0,0.0,0.0,9.17,17.34,7.86,74.07
2023-07-05,15.05,0.0,0.0,0.0,9.27,17.93,7.7,72.52
2023-07-06,16.06,0.0,0.0,0.0,10.05,19.09,6.62,72.27
2023-07-07,15.29,1.22,0.0,1.22,11.63,19.63,8.51,77.82
2023-07-08,14.85,12.85,0.0,12.85,11.73,17.54,11.67,80.93
2023-07-09,12.65,12.4,0.0,12.4,10.52,15.02,13.07,83.56
2023-07-10,11.14,20.98,0.0,20.98,9.12,13.68,22.52,84.08
2023-07-11,11.51,1.19,0.0,1.19,7.97,14.43,15.13,72.5
2023-07-12,11.79,0.0,0.0,0.0,5.89,16.52,11.74,61.54
2023-07-13,12.87,0.0,0.0,0.0,8.29,16.68,9.19,72.71
2023-07-14,12.68,0.0,0.0,0.0,7.51,17.19,9.2,69.38
2023-07-15,13.1,0.11,0.0,0.11,8.92,16.85,10.4,67.52
2023-07-16,12.21,6.62,0.0,6.62,9.24,15.36,13.55,79.05
2023-07-17,12.65,1.52,0.0,1.52,7.83,16.07,11.92,67.54
2023-07-18,12.73,0.0,0.0,0.0,6.31,16.0,11.0,65.66
2023-07-19,13.32,0.0,0.0,0.0,8.18,16.99,9.28,71.45
2023-07-20,15.15,0.0,0.0,0.0,9.86,20.34,9.09,68.66
2023-07-21,14.8,0.0,0.0,0.0,9.82,18.14,8.37,72.54
2023-07-22,15.18,0.0,0.0,0.0,10.13,18.03,8.51,73.51
2023-07-23,14.44,0.0,0.0,0.0,10.58,18.14,9.96,68.57
2023-07-24,13.17,7.61,0.0,7.61,10.37,16.3,14.29,75.02
2023-07-25,13.07,1.55,0.0,1.55,10.82,15.82,12.39,75.72
2023-07-26,14.3,0.0,0.0,0.0,9.18,18.53,10.75,73.05
2023-07-27,17.38,0.0,0.0,0.0,11.26,22.47,10.29,72.31
2023-07-28,13.87,2.73,0.0,2.73,11.11,16.37,19.26,70.96
2023-07-29,12.22,0.67,0.0,0.67,8.25,15.77,10.68,72.65
2023-07-30,12.42,1.73,0.0,1.73,10.2,15.45,8.98,75.6
2023-07-31,13.38,0.11,0.0,0.11,9.94,17.16,8.21,72.69
2023-08-01,14.58,0.0,0.0,0.0,10.44,18.47,8.33,71.42
2023-08-02,15.75,0.35,0.0,0.35,12.39,19.52,9.49,75.65
2023-08-03,15.87,0.04,0.0,0.04,12.35,20.02,7.48,75.98
2023-08-04,15.37,0.37,0.0,0.37,12.38,19.23,8.04,77.01
2023-08-05,16.09,0.0,0.0,0.0,11.49,20.72,9.95,75.78
2023-08-06,18.03,0.0,0.0,0.0,13.17,22.61,12.18,69.89
2023-08-07,18.76,0.0,0.0,0.0,15.01,23.83,11.39,68.96
2023-08-08,17.58,0.59,0.0,0.59,13.97,21.75,9.11,73.84
2023-08-09,16.24,1.58,0.0,1.58,13.68,19.37,13.7,81.16
2023-08-10,17.51,5.22,0.0,5.22,14.03,20.94,11.69,78.11
2023-08-11,17.82,5.26,0.0,5.26,14.04,21.02,13.18,77.85
2023-08-12,16.09,18.07,0.0,18.07,13.78,18.07,12.49,85.94
2023-08-13,17.96,1.6,0.0,1.6,12.97,20.07,6.74,79.19
2023-08-14,18.06,0.0,0.0,0.0,12.58,20.81,8.79,71.03
2023-08-15,17.63,0.0,0.0,0.0,11.86,20.58,7.89,68.79
2023-08-16,16.17,0.0,0.0,0.0,11.67,20.09,7.32,68.93
2023-08-17,16.59,0.0,0.0,0.0,12.96,20.14,6.7,72.86
2023-08-18,16.47,0.07,0.0,0.07,13.17,20.08,9.16,74.21
