,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2023-09-16,16.9,0.26,0.0,0.26,13.53,19.79,9.97,73.51
2023-09-17,16.44,1.06,0.0,1.06,14.01,19.59,16.73,74.52
2023-09-18,15.39,0.05,0.0,0.05,12.19,18.96,14.45,68.98
2023-09-19,15.64,0.0,0.0,0.0,10.81,19.75,8.66,70.07
2023-09-20,17.34,0.14,0.0,0.14,14.1,20.56,12.3,70.96
2023-09-21,17.24,0.23,0.0,0.23,14.23,20.35,9.0,73.69
2023-09-22,17.34,0.0,0.0,0.0,13.52,21.44,7.89,72.91
2023-09-23,17.55,0.06,0.0,0.06,14.43,21.04,6.95,75.89
2023-09-24,17.18,0.0,0.0,0.0,14.47,20.98,7.19,73.4
2023-09-25,16.98,0.08,0.0,0.08,14.65,20.28,8.25,77.64
2023-09-26,16.55,0.07,0.0,0.07,13.04,20.13,7.81,74.26
2023-09-27,17.58,0.13,0.0,0.13,14.09,21.56,8.21,72.35
2023-09-28,18.14,0.0,0.0,0.0,14.81,22.1,9.29,70.11
2023-09-29,17.48,0.13,0.0,0.13,13.91,20.79,8.01,71.85
2023-09-30,17.15,0.18,0.0,0.18,13.82,20.43,8.01,72.89
2023-10-01,16.59,8.44,0.0,8.44,13.87,20.05,8.83,79.61
2023-10-02,14.95,43.34,0.0,43.34,13.27,16.56,21.2,86.54
2023-10-03,13.77,9.58,0.0,9.58,12.2,15.45,22.37,80.8
2023-10-04,13.26,0.5,0.0,0.5,11.09,15.74,14.27,72.59
2023-10-05,14.6,0.02,0.0,0.02,10.71,18.64,10.86,72.41
