,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023-05-23,10.97,6.32,0.0,6.32,7.34,14.8,14.4,80.44
2023-05-24,10.77,3.83,0.0,3.83,6.52,15.25,9.78,81.57
2023-05-25,10.62,2.81,0.0,2.81,6.45,15.0,10.56,83.49
2023-05-26,11.89,3.83,0.0,3.83,6.65,17.19,9.2,82.15
2023-05-27,13.35,0.25,0.0,0.25,6.67,18.14,8.91,77.46
2023-05-28,12.34,1.72,0.0,1.72,8.55,15.95,11.3,83.28
2023-05-29,13.44,3.9,0.0,3.9,7.78,17.52,14.27,78.42
2023-05-30,13.74,1.65,0.0,1.65,8.85,18.98,13.83,76.1
2023-05-31,11.23,9.25,0.0,9.25,7.53,15.47,9.58,84.23
2023-06-01,12.67,2.13,0.0,2.13,7.5,16.67,6.96,82.25
2023-06-02,13.99,0.65,0.0,0.65,8.09,18.71,9.88,80.0
2023-06-03,16.32,0.37,0.0,0.37,9.6,22.44,15.53,71.87
2023-06-04,13.27,4.57,0.0,4.57,9.73,16.62,11.34,83.16
2023-06-05,12.57,9.06,0.0,9.06,9.4,16.46,13.19,86.74
2023-06-06,12.89,2.49,0.0,2.49,10.16,15.48,16.54,84.69
2023-06-07,14.22,0.0,0.0,0.0,7.42,18.64,8.74,77.84
2023-06-08,14.82,0.0,0.0,0.0,6.52,20.09,7.91,73.57
2023-06-09,15.39,3.73,0.0,3.73,11.75,19.59,10.26,83.56
2023-06-10,13.76,5.27,0.0,5.27,10.24,18.6,9.28,83.61
2023-06-11,14.4,6.31,0.0,6.31,9.38,19.96,9.18,83.41
2023-06-12,13.85,3.98,0.0,3.98,10.67,17.59,8.41,88.69
2023-06-13,13.44,10.15,0.0,10.15,10.16,18.25,7.42,85.46
2023-06-14,13.18,8.91,0.0,8.91,10.65,16.88,9.18,86.23
2023-06-15,13.93,9.29,0.0,9.29,10.99,16.96,12.96,83.69
2023-06-16,15.67,0.0,0.0,0.0,8.47,19.7,8.83,75.77
