,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-09-18,18.62,0.0,0.0,0.0,9.1,28.47,9.79,56.14
2022-09-19,13.63,4.29,0.0,4.29,10.1,16.58,11.56,75.85
2022-09-20,13.09,1.94,0.0,1.94,7.53,18.69,7.85,77.27
2022-09-21,9.87,11.11,0.0,11.11,8.3,11.4,14.04,81.04
2022-09-22,9.76,11.35,0.0,11.35,6.57,13.73,7.18,80.39
2022-09-23,9.52,14.39,0.0,14.39,6.62,12.84,10.25,71.55
2022-09-24,8.02,2.96,0.0,2.96,4.26,11.39,8.43,77.72
2022-09-25,8.43,0.35,0.0,0.35,1.29,14.08,6.72,72.79
2022-09-26,9.31,0.0,0.0,0.0,1.03,18.25,5.66,66.9
2022-09-27,11.14,0.0,0.0,0.0,1.41,21.03,7.22,60.38
2022-09-28,13.13,0.12,0.0,0.12,4.23,19.36,8.56,55.3
2022-09-29,12.84,0.04,0.0,0.04,5.29,19.36,5.9,67.24
2022-09-30,13.64,0.0,0.0,0.0,5.62,20.69,5.85,71.5
2022-10-01,13.19,0.0,0.0,0.0,5.89,20.29,5.53,70.14
2022-10-02,13.92,3.39,0.0,3.39,5.06,21.47,9.61,66.53
2022-10-03,10.08,10.22,0.0,10.22,6.66,12.78,11.0,75.92
2022-10-04,9.55,12.39,0.0,12.39,5.32,13.95,6.93,81.04
2022-10-05,9.15,13.97,0.0,13.97,6.97,11.52,11.9,81.3
2022-10-06,8.58,6.12,0.0,6.12,6.54,10.21,9.32,79.52
2022-10-07,8.63,0.55,0.0,0.55,5.56,11.97,8.44,78.38
2022-10-08,9.29,6.15,0.0,6.15,6.99,12.21,6.77,84.21
2022-10-09,9.21,2.96,0.0,2.96,5.66,13.49,6.2,81.6
2022-10-10,8.97,0.54,0.0,0.54,6.11,11.66,10.65,76.77
2022-10-11,8.21,0.89,0.0,0.89,3.29,12.43,5.97,76.98
2022-10-12,7.81,0.0,0.0,0.0,1.59,12.34,7.56,79.13
2022-10-13,8.23,0.45,0.0,0.45,5.15,11.0,6.38,80.09
2022-10-14,7.42,0.82,0.0,0.82,4.19,10.99,5.08,79.41
2022-10-15,7.98,1.87,0.0,1.87,4.85,10.71,5.57,81.49
2022-10-16,9.24,1.82,0.0,1.82,5.4,12.63,6.8,83.3
2022-10-17,9.23,2.09,0.0,2.09,7.44,11.53,10.52,83.78
2022-10-18,9.3,2.92,0.0,2.92,7.41,11.67,10.75,83.35
2022-10-19,9.24,0.54,0.0,0.54,6.16,12.53,5.99,85.63
2022-10-20,7.2,12.5,0.0,12.5,5.11,9.28,13.59,85.14
2022-10-21,3.97,7.64,0.0,7.64,1.92,6.41,12.7,74.75
2022-10-22,3.97,0.33,0.0,0.33,-0.45,8.65,5.29,74.98
2022-10-23,5.13,0.0,0.0,0.0,-2.35,12.48,6.5,66.78
2022-10-24,7.0,0.61,0.0,0.61,2.89,11.6,8.15,68.01
2022-10-25,5.29,0.0,0.0,0.0,-0.23,11.39,5.59,76.9
2022-10-26,5.95,0.0,0.0,0.0,-1.5,13.39,5.84,69.2
2022-10-27,6.11,1.3,0.0,1.3,2.82,9.84,9.48,76.29
2022-10-28,4.7,0.68,0.0,0.68,-0.24,8.97,6.99,78.09
2022-10-29,4.26,1.23,0.0,1.23,-0.49,8.91,5.23,79.38
2022-10-30,3.51,0.0,0.0,0.0,-2.92,9.67,5.36,78.52
2022-10-31,3.97,0.18,0.0,0.18,-2.52,9.97,6.35,71.05
2022-11-01,4.97,2.91,0.0,2.91,1.18,8.44,9.68,75.73
2022-11-02,3.23,0.0,0.0,0.0,-2.81,9.32,5.23,75.01
2022-11-03,4.07,3.09,0.0,3.09,-2.94,11.34,6.81,68.87
2022-11-04,5.75,1.06,0.0,1.06,0.98,9.98,6.18,75.38
2022-11-05,5.2,0.0,0.0,0.0,-2.08,12.69,5.55,73.73
2022-11-06,4.96,0.0,0.0,0.0,-0.16,10.45,5.18,73.74
2022-11-07,4.74,4.57,0.0,4.57,1.23,9.04,4.91,78.15
2022-11-08,4.71,4.37,0.0,4.37,3.56,5.83,7.51,89.4
2022-11-09,3.73,2.01,0.0,2.01,1.85,4.97,7.24,80.69
2022-11-10,3.08,0.18,0.0,0.18,-0.11,5.17,3.66,81.0
