time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-07-25,20.06,0.31,0.0,0.31,11.54,24.95,6.9,64.51
2024-07-26,15.89,6.83,0.0,6.83,12.4,19.02,7.13,80.99
2024-07-27,15.56,6.28,0.0,6.28,11.7,19.52,6.92,79.34
2024-07-28,19.96,7.21,0.0,7.21,11.17,25.3,6.67,67.47
2024-07-29,20.66,0.0,0.0,0.0,10.6,26.53,5.75,63.3
2024-07-30,18.59,0.23,0.0,0.23,9.63,23.91,7.99,64.35
2024-07-31,17.19,0.0,0.0,0.0,8.05,22.49,6.53,62.16
2024-08-01,18.39,0.0,0.0,0.0,9.43,23.92,7.27,67.76
2024-08-02,19.0,0.0,0.0,0.0,9.54,25.43,6.54,68.65
2024-08-03,20.16,0.0,0.0,0.0,8.7,26.63,5.58,63.77
2024-08-04,21.05,0.04,0.0,0.04,8.67,27.33,5.46,58.95
2024-08-05,19.39,0.82,0.0,0.82,10.7,25.27,5.94,67.7
2024-08-06,19.55,0.11,0.0,0.11,11.64,25.05,5.61,65.76
2024-08-07,18.04,0.4,0.0,0.4,9.34,22.58,6.4,67.35
2024-08-08,18.58,0.0,0.0,0.0,8.85,24.6,6.51,68.58
2024-08-09,19.6,0.3,0.0,0.3,11.07,25.71,6.57,70.88
2024-08-10,19.87,2.18,0.0,2.18,14.58,24.23,6.45,75.58
2024-08-11,20.98,0.06,0.0,0.06,12.47,25.97,6.49,66.82
2024-08-12,17.7,0.0,0.0,0.0,10.02,25.11,7.18,63.18
2024-08-13,22.3,0.0,0.0,0.0,10.46,28.32,6.13,59.36
2024-08-14,22.37,0.0,0.0,0.0,9.89,29.03,8.12,55.06
2024-08-15,20.22,0.0,0.0,0.0,10.1,25.95,8.13,58.18
2024-08-16,18.57,0.0,0.0,0.0,6.53,24.69,7.66,58.88
2024-08-17,18.46,0.0,0.0,0.0,8.02,24.04,7.16,61.23
2024-08-18,19.85,0.0,0.0,0.0,8.28,26.66,5.6,62.7
2024-08-19,20.86,0.0,0.0,0.0,9.55,27.15,5.8,64.94
2024-08-20,21.86,0.0,0.0,0.0,10.46,29.57,5.72,64.36
2024-08-21,19.8,0.0,0.0,0.0,11.22,27.31,5.46,64.83
2024-08-22,20.02,0.04,0.0,0.04,12.17,25.6,5.46,67.77
2024-08-23,19.49,0.0,0.0,0.0,12.85,25.42,6.19,70.0
2024-08-24,19.27,0.33,0.0,0.33,11.26,24.46,6.12,66.41
2024-08-25,19.3,0.0,0.0,0.0,10.45,25.66,5.87,66.46
